CD3D	RAC2
GAPDHS	ZFPL1
CDC2L5	SOX15
E2F5	PTPRJ
ATP6V1D	ATXN3L
DKFZP566N034	RIOK3
CDC42EP4	SEC14L3
VPS13C	WAC
MTCH1	NGFRAP1
EXOC1	LOC51315
ATPIF1	CD320
ATP6V0C	NDUFA3
CUTA	XX-FW81657B9.4
DYRK1A	EIF4G2
SEPT2	SERINC1
RPS27A	SFRS5
RPL19	RPS3A
BIRC2	DDX5
EEF1A1	RPS24
LOC440055	RPS24
RPL30	U16
USP22	VCP
RPS3	RPS3A
EIF3S10	NBN
HSP90B1	PNRC2
HSP90B1	PCNP
GMFB	MATR3
HNRPH3	SFRS11
EIF2S2	RPL7
RPL10	RPL13A
PABPC1	RPS15A
IQGAP1	RAVER2
EPB41L2	SPARCL1
SPARCL1	THBS2
HMGN4	RAP1B
RPL18A	RPS2
HLA-E	IGLJ3
DDX3X	DEK
DEK	PDCD10
DEK	KIAA0143
TAX1BP1	USP33
ERBB2IP	TAF7
DDX46	SF3B1
SF3B1	SP100
BCLAF1	DOPEY1
HIATL1	NBPF1
ATRX	HNRPH2
HLA-DPB1	HLA-G
DDX3X	SACM1L
CYR61	NR2F2
TMEM123	TRAM1
CD84	PSMB2
C6orf111	TIA1
EEF1A1	RPL41
OSBPL8	PUM2
ACBD3	GOLGA4
FXR1	SH2BP1
FBXO11	PPP2R5C
FIBP	MTX1
NDUFAB1	NDUFS6
221428_s_at	PFAAP5
FLJ11021	NACA
ACBD3	BAZ2B
DYNLT3	TRIM2
OSBPL1A	TRIM2
CBFB	SFRS3
FXYD3	TRPV1
MARCH7	STAG2
BCAS2	EPS15
HS6ST1	TGFB1
CALM2	SRPK2
DMTF1	RBM25
CEP57	SFRS2IP
EVI2B	IL2RG
CAST	ZNF9
ETV1	TRFP
CD84	CHRNA5
CACNA1G	NRL
HLA-A	PTPN6
RNPC2	UBXD2
CDC5L	UTY
RPL35A	RPS3
HLA-B	IGKC
NAP1L1	PKN2
LOC58486	SRP72
HLA-C	IGKV1OR2-108
CLPTM1	COMT
SIGLEC6	VDAC3
KIAA0776	REEP5
EDD1	PCM1
METAP2	TLOC1
IFI16	SMCHD1
C2orf4	FBXL11
HNRPH3	METAP2
CECR1	UCP2
DDX3X	STAG2
EFHA1	RAB5A
C1orf63	PRDX3
HMHA1	LAT
211639_x_at	IGLJ3
IGHA1	IGHV1-69
NDUFS7	POLR2I
PCDHGB5	RFPL3S
CEACAM1	ETV6
CROP	HNRPA3P1
ITGB1	WWP1
JOSD3	SR140
USP34	VPS13C
RPL17	RPL3
FAM60A	RPS3A
NAP1L1	RPL17
ASNSD1	ZDHHC17
LOC58486	SEPT7
SP3	ZNF403
CXCR4	TRIM22
ASPHD1	POP1
RPL14	RPL27
PTPRJ	TAF4B
EEF1D	RPL15
214836_x_at	217258_x_at
MUC3B	WNT6
DDX50	SON
215347_at	PPP3CC
FGFR1	WDR45
ACF	ISG20L2
CYP2C9	P2RY4
HLA-J	IGHA1
PERP	RAB25
ZNF447	ZNF580
FKBP11	TXNDC5
RPL23A	RPS13
BCLAF1	DDX5
COPB	RPL6
RBM25	RPL6
PDCD4	ZNF146
NPM1	SRP72
NACA	RPS25
HNRPK	SNRPB2
RPS3A	TIA1
HSP90B1	TOP2B
HSP90B1	ROCK1
PRKAR1A	RAB1A
ACTR2	SSB
AP2S1	ECH1
CSDE1	KTN1
BTG1	FAIM3
ADD3	DEK
ATP6V0C	UROS
ADD3	LEREPO4
ADD3	FRYL
KIAA1109	USP9X
PCM1	USP9X
COX8A	NDUFS8
NAP1L1	SSB
PCNP	SSB
CROP	MBNL1
BTBD1	DDX1
HNRPA1	RPS6
NACA	RPS3A
GTF2I	SRP9
COPB	RNPC2
DHX15	EDD1
SFPQ	TIA1
IFI16	RAVER2
ATRX	RANBP2
HLA-DPA1	LAPTM5
CALD1	EFEMP1
B2M	CXCR4
SCAMP1	SLC25A36
ERBB2IP	THRAP1
CDC16	HNRPDL
CUL4B	SEPT7
BRD8	HSP90AA1
MATR3	PFAAP5
ACTG2	FBLN1
FLJ11021	SCC-112
RASA1	SENP6
TCEAL4	TMEM47
FXYD3	ZNF337
BDH1	OPA1
ADAM10	TLOC1
PDCD4	SLC38A2
AMPH	ANK2
ETFB	NDUFB11
DRAP1	HTATIP
ARID4B	CUL5
C1orf160	NDUFB6
DEXI	NDUFB2
CLPTM1	MRPS12
GFER	PCDH9
LOC58486	ZNF9
EPOR	FMO4
CTAG2	HAP1
ATP2A3	TRA@
EDAR	TBXA2R
MYCNOS	POU4F2
RFC1	SR140
MADCAM1	MED31
208238_x_at	PRR11
NACA	RPL5
CDV3	XRCC5
EIF2S2	EIF3S6
HLA-B	RAC2
